code,city,country,name,latitude,longitude
WTS,Tsiroanomandidy,Madagascar,Tsiroanomandidy Airport,-18.75,46.05
WAQ,Antsalova,Madagascar,Antsalova Airport,-18.7,44.617
ORS,Orpheus Island Resort,Australia,Orpheus Island,-18.634,146.5
WKM,Wankie,Zimbabwe,Hwange National Park,-18.629872,27.021042
VAV,Vava'u,Tonga,Vavau Intl,-18.585336,-173.961717
MFJ,Moala,Fiji,Moala Airport,-18.5667,179.951
REA,Read,French Polynesia,Reao,-18.465861,-136.439706
ARI,Arica,Chile,Chacalluta,-18.348531,-70.338742
HOK,Hookers Creek,Australia,Hooker Creek Airport,-18.3367,130.638
PUK,Pukaru,French Polynesia,Pukarua Airport,-18.3166666,-137.016666
HCQ,Halls Creek,Australia,Halls Creek Airport,-18.233889,127.669722
LKB,Lakeba,Fiji,Lakeba Island Airport,-18.1992,-178.817
FIZ,Fitzroy Crossing,Australia,Fitzroy Crossing Airport,-18.178,125.591
NGI,Ngau,Fiji,Ngau Airport,-18.1156,179.34
TMM,Tamatave,Madagascar,Toamasina,-18.109517,49.392536
VFA,Victoria Falls,Zimbabwe,Victoria Falls Intl,-18.095881,25.839006
HOI,Hao Island,French Polynesia,Hao,-18.074814,-140.945886
TCQ,Tacna,Peru,Coronel Carlos Ciriani Santa Rosa Intl,-18.053333,-70.275833
MXT,Maintirano,Madagascar,Maintirano Airport,-18.05,44.033
MVS,Mucuri,Brazil,Mucuri Airport,-18.0489,-39.8642
SUV,Suva,Fiji,Nausori Intl,-18.043267,178.559228
NDU,Rundu,Namibia,Rundu,-17.956461,19.719439
DMD,Doomadgee Mission,Australia,Doomadgee Airport,-17.9403,138.822
DKI,Dunk Island,Australia,Dunk Island Airport,-17.939722,146.141944
HRE,Harare,Zimbabwe,Harare Intl,-17.931806,31.092847
OND,Ondangwa,Namibia,Ondangwa Airport,-17.8782,15.9526
UEL,Quelimane,Mozambique,Quelimane,-17.8555,36.869106
TVA,Morafenobe,Madagascar,Morafenobe Airport,-17.85,44.917
BBK,Kasane,Botswana,Kasane,-17.832875,25.1624
LVI,Livingstone (Maramba),Zambia,Livingstone,-17.821756,25.822692
BME,Broome,Australia,Broome,-17.8,122.2
SRZ,Santa Cruz,Bolivia,Santa Cruz,-17.8,-63.166667
WAM,Ambatondrazaka,Madagascar,Ambatondrazaka Airport,-17.8,48.433
RVD,Rio Verde,Brazil,General leite de Castro Airport,-17.790278,-50.918333
PTF,Malololailai,Fiji,Malolo Lailai Island Airport,-17.7779,177.197
NAN,Nadi,Fiji,Nadi Intl,-17.755392,177.443378
BUC,Burketown,Australia,Burketown Airport,-17.7486,139.534
ICI,Cicia,Fiji,Cicia Airport,-17.7433,-179.342
CLV,Caldas Novas,Brazil,Caldas Novas,-17.7267,-48.6114
VLI,Port Vila,Vanuatu,Port Vila Bauerfield,-17.699325,168.319794
NTN,Normanton,Australia,Normanton Airport,-17.6836,141.07
LEV,Bureta,Fiji,Levuka Airfield,-17.68333,178.83333
MNF,Mana,Fiji,Mana Island Airport,-17.6731,177.098
CRQ,Caravelas,Brazil,Caravelas,-17.652283,-39.253069
VVI,Santa Cruz,Bolivia,Viru Viru Intl,-17.644756,-63.135364
MPA,Mpacha,Namibia,Katima Mulilo Airport,-17.6344,24.1767
IFL,Innisfail,Australia,Innisfail,-17.55908,146.01123
PPT,Papeete Tahiti,French Polynesia,Faa\\'a International,-17.556667,-149.611389
MOZ,Moorea,French Polynesia,Moorea,-17.489972,-149.761869
WTA,Tambohorano,Madagascar,Tambohorano Airport,-17.4761,43.9728
KRB,Karumba,Australia,Karumba Airport,-17.4567,140.83
